date,price_usd,increasedprice_btc,24h_volume_usd,percent_change_1h,percent_change_24h,percent_change_7d
2017/11/15 17:55,1242.91,0,0.17395,1300320000.0,2.0,-7.69,99.35
2017/11/15 18:00,1235.68,0,0.172585,1298370000.0,1.73,-8.2,98.21
2017/11/15 18:05,1228.67,0,0.171347,1297170000.0,1.08,-8.71,97.11
2017/11/15 18:10,1232.61,1,0.17109,1307940000.0,1.36,-8.37,97.74
2017/11/15 18:15,1234.25,1,0.171238,1309970000.0,1.38,-8.15,98.05
date,price_usd,increasedprice_btc,24h_volume_usd,percent_change_1h,percent_change_24h,percent_change_7d
2017/11/15 18:43,1228.43,1,0.170633,1306050000.0,-0.93,-8.27,97.24
2017/11/15 18:48,1228.34,0,0.170523,1307730000.0,-1.07,-8.23,97.25
2017/11/15 18:53,1227.73,0,0.17061,1307280000.0,-1.06,-8.11,97.19
2017/11/15 18:58,1227.31,0,0.170884,1306430000.0,-1.0,-8.09,97.12
2017/11/15 19:03,1227.05,0,0.171028,1304420000.0,-0.98,-7.98,97.14
2017/11/15 19:08,1230.98,1,0.17123,1306230000.0,-0.52,-7.56,97.79
2017/11/15 19:13,1235.43,1,0.171955,1311060000.0,0.22,-7.12,98.52
2017/11/15 19:18,1235.74,1,0.172004,1311810000.0,0.22,-7.04,98.56
2017/11/15 19:23,1238.48,1,0.172298,1311010000.0,0.52,-6.76,99.03
2017/11/15 19:28,1243.07,1,0.17296,1315770000.0,0.85,-6.32,99.78
2017/11/15 19:33,1238.92,0,0.172733,1304950000.0,0.57,-6.55,99.12
2017/11/15 19:38,1239.42,1,0.17282,1302200000.0,0.69,-6.41,99.19
2017/11/15 19:43,1241.39,1,0.172859,1298990000.0,0.95,-6.22,99.48
2017/11/15 19:48,1245.86,1,0.174231,1302290000.0,1.4,-5.78,100.19
2017/11/15 19:53,1247.03,1,0.174268,1303440000.0,1.53,-5.64,100.37
2017/11/15 19:58,1248.73,1,0.174804,1305430000.0,1.58,-5.35,100.63
2017/11/15 20:03,1253.58,1,0.175627,1308370000.0,1.89,-4.95,101.4
2017/11/15 20:08,1251.46,0,0.175156,1313010000.0,1.69,-5.08,101.04
2017/11/15 20:13,1255.71,1,0.175988,1315530000.0,1.76,-4.63,101.71
2017/11/15 20:18,1253.03,0,0.175574,1312730000.0,1.4,-4.79,101.26
2017/11/15 20:23,1241.38,0,0.173334,1307980000.0,0.25,-5.58,99.38
2017/11/15 20:28,1243.46,1,0.172669,1302940000.0,0.37,-5.2,99.72
2017/11/15 20:33,1242.03,0,0.172499,1299700000.0,0.2,-5.31,99.48
2017/11/15 20:38,1240.93,0,0.172382,1298560000.0,-0.09,-5.24,99.3
2017/11/15 20:43,1238.95,0,0.17219,1291740000.0,-0.3,-5.31,98.97
2017/11/15 20:48,1231.85,0,0.171008,1287520000.0,-0.94,-5.78,97.83
2017/11/15 20:53,1225.14,0,0.169512,1286880000.0,-1.74,-6.2,96.74
2017/11/15 20:58,1231.01,1,0.169702,1292520000.0,-1.55,-5.68,97.68
2017/11/15 21:03,1230.01,0,0.170219,1292330000.0,-1.63,-5.66,97.5
2017/11/15 21:08,1232.65,1,0.170645,1293790000.0,-1.4,-5.39,97.94
2017/11/15 21:13,1230.01,0,0.170664,1292460000.0,-1.57,-5.55,97.52
2017/11/15 21:18,1230.46,1,0.170038,1292880000.0,-1.39,-5.43,97.59
2017/11/15 21:23,1225.02,0,0.169541,1287510000.0,-1.69,-5.85,96.72
2017/11/15 21:29,1217.06,0,0.168145,1283760000.0,-2.11,-6.41,95.43
2017/11/15 23:21,1214.21,0,0.166914,1306280000.0,0.53,-5.74,95.35
2017/11/16 07:47,1094.74,0,0.15116,1394770000.0,-2.12,-16.03,73.84
2017/11/16 07:53,1100.27,1,0.152105,1401710000.0,-1.35,-15.63,74.7
2017/11/16 07:58,1099.12,0,0.151532,1402550000.0,-1.28,-15.74,74.55
