date,price_usd,increasedprice_btc,24h_volume_usd,percent_change_1h,percent_change_24h,percent_change_7d
2017/11/15 10:34,1293.43,1,0.186138,1522940000.0,-0.51,2.05,103.42
2017/11/15 10:39,1288.52,0,0.185281,1525790000.0,-0.84,1.22,102.62
2017/11/15 10:44,1300.69,1,0.187084,1541030000.0,0.11,1.93,104.52
2017/11/15 10:49,1301.39,1,0.187162,1542420000.0,0.12,1.68,104.62
2017/11/15 10:54,1301.89,1,0.18719,1544690000.0,0.16,1.4,104.69
2017/11/15 10:59,1310.56,1,0.188511,1554640000.0,0.88,1.75,106.04
2017/11/15 11:04,1309.76,0,0.18958,1551080000.0,0.88,1.4,105.9
2017/11/15 11:09,1314.21,1,0.190767,1555950000.0,1.29,1.5,106.59
2017/11/15 11:14,1306.27,0,0.189564,1552610000.0,0.73,0.67,105.34
2017/11/15 11:19,1306.04,0,0.189202,1552640000.0,0.75,0.43,105.3
2017/11/15 11:24,1298.28,0,0.188223,1538780000.0,0.37,-0.36,104.08
2017/11/15 11:29,1296.01,0,0.187867,1512170000.0,0.2,-0.74,103.72
2017/11/15 11:34,1294.94,0,0.187622,1480890000.0,0.11,-1.06,103.55
2017/11/15 11:39,1293.33,0,0.187145,1456940000.0,-0.1,-1.31,103.29
2017/11/15 11:44,1291.53,0,0.186653,1444280000.0,-0.33,-1.73,103.01
2017/11/15 11:49,1293.13,1,0.186588,1439220000.0,-0.43,-1.98,103.25
2017/11/15 11:54,1296.59,1,0.186881,1437680000.0,-0.43,-1.93,103.8
2017/11/15 11:59,1295.03,0,0.186959,1423950000.0,-0.87,-2.28,103.55
2017/11/15 12:04,1292.21,0,0.186342,1402910000.0,-1.16,-2.49,103.11
2017/11/15 12:09,1293.17,1,0.186191,1395800000.0,-1.14,-2.84,103.26
2017/11/15 12:14,1292.77,0,0.186012,1386280000.0,-1.0,-3.05,103.19
2017/11/15 12:19,1292.73,0,0.185927,1358010000.0,-0.84,-3.22,103.19
2017/11/15 12:24,1287.5,0,0.184904,1331620000.0,-1.06,-3.75,102.36
2017/11/15 12:29,1285.28,0,0.183917,1315630000.0,-0.88,-4.06,102.02
2017/11/15 12:34,1289.48,1,0.184394,1302840000.0,-0.56,-3.9,102.71
2017/11/15 12:40,1286.93,0,0.184111,1288400000.0,-0.59,-4.26,102.34
2017/11/15 13:38,1270.61,0,0.179292,1243340000.0,-1.12,-6.02,100.46
2017/11/15 13:43,1276.01,1,0.179223,1247630000.0,-0.56,-5.63,101.44
date,price_usd,increasedprice_btc,24h_volume_usd,percent_change_1h,percent_change_24h,percent_change_7d
date,price_usd,increasedprice_btc,24h_volume_usd,percent_change_1h,percent_change_24h,percent_change_7d
2017/11/15 14:11,1266.86,1,0.17651,1222450000.0,-0.2,-5.79,100.74
date,price_usd,increasedprice_btc,24h_volume_usd,percent_change_1h,percent_change_24h,percent_change_7d
2017/11/15 14:11,1266.86,1,0.17651,1222450000.0,-0.2,-5.79,100.74
2017/11/15 14:16,1270.74,1,0.177173,1226590000.0,-0.01,-5.43,101.38
2017/11/15 14:21,1272.94,1,0.178006,1227500000.0,0.08,-5.24,101.88
2017/11/15 14:26,1272.73,0,0.178061,1223400000.0,0.03,-5.21,101.94
2017/11/15 14:31,1272.65,0,0.178172,1221250000.0,-0.07,-5.21,101.94
2017/11/15 14:36,1275.08,1,0.179113,1219830000.0,0.04,-4.97,102.48
2017/11/15 14:41,1277.0,1,0.179802,1215950000.0,0.31,-4.78,102.8
2017/11/15 14:46,1281.52,1,0.180388,1212210000.0,0.86,-4.34,103.68
2017/11/15 14:51,1266.53,0,0.178496,1207090000.0,-0.23,-5.37,101.38
2017/11/15 14:56,1272.14,1,0.178093,1200200000.0,0.26,-4.89,102.36
2017/11/15 15:01,1263.64,0,0.177497,1194700000.0,-0.32,-5.49,101.02
2017/11/15 15:06,1266.09,1,0.177746,1197750000.0,-0.1,-5.3,101.6
2017/11/15 15:11,1261.65,0,0.176981,1195300000.0,-0.45,-5.58,100.91
2017/11/15 15:16,1259.73,0,0.17604,1197470000.0,-0.78,-5.72,100.8
2017/11/15 15:21,1255.68,0,0.174906,1200160000.0,-1.27,-6.06,100.26
date,price_usd,increasedprice_btc,24h_volume_usd,percent_change_1h,percent_change_24h,percent_change_7d
2017/11/15 16:33,1243.52,1,0.172874,1206120000.0,-1.19,-7.38,99.15
2017/11/15 16:38,1238.22,0,0.171732,1204790000.0,-1.64,-7.78,98.32
2017/11/15 16:43,1234.59,0,0.1707,1209490000.0,-2.03,-8.05,97.75
2017/11/15 16:49,1221.92,0,0.169564,1212470000.0,-3.02,-8.99,95.75
2017/11/15 16:54,1212.26,0,0.16781,1218210000.0,-3.85,-9.72,94.22
2017/11/15 16:59,1221.26,1,0.16827,1234040000.0,-3.02,-9.05,95.67
2017/11/15 17:04,1210.94,0,0.167083,1232730000.0,-3.75,-9.85,94.02
2017/11/15 17:09,1207.38,0,0.16641,1238090000.0,-4.0,-10.14,93.44
2017/11/15 17:14,1221.58,1,0.169133,1250180000.0,-2.52,-9.11,95.75
2017/11/15 17:19,1219.59,0,0.168697,1251280000.0,-2.48,-9.28,95.44
2017/11/15 17:24,1215.71,0,0.168224,1250210000.0,-2.65,-9.59,94.84
2017/11/15 17:29,1229.78,1,0.170137,1263520000.0,-1.17,-8.55,97.11
2017/11/15 17:34,1236.78,1,0.172353,1276920000.0,0.13,-8.08,98.28
2017/11/15 17:39,1242.54,1,0.17322,1287810000.0,1.13,-7.65,99.22
2017/11/15 17:44,1245.01,1,0.173972,1292300000.0,1.78,-7.5,99.63
2017/11/15 17:49,1250.18,1,0.174926,1298780000.0,2.64,-7.13,100.5
